School Namekeyboard_arrow_down,Score 2018 - 19,Rank 2018 - 19,Citykeyboard_arrow_down,language,School Type,Posta Code,Posta Code Detailed,Lat,Long
Emmanuel Christian,7.5,93,Dollard-Des Ormeaux,English,Private,G5T,G5T 0A1,47.629118,-68.5776794
Esdras-Minville,4.9,357,Grande-Vallée,French,Public,G0E,G0E 0A5,49.2255748,-65.1202866
Esther Blondin,7.7,84,Saint-Jacques,French,Private,J6E,J6E 9H5,45.957962,-73.5633773
Eulalie-Durocher,2.6,459,Montréal,French,Public,H1W,H1W 3Y8,45.5352638,-73.5317052
Externat Sacré-Coeur,8.8,26,Rosemère,French,Private,J7A,J7A 4S2,45.6539198,-73.7905793
Externat Saint-Jean-Eudes,8.1,60,Québec,French,Private,G2L,G2L 2R5,46.8778689,-71.242334
F.A.C.E.,7,122,Montréal,English,Public,H3A,H3A 2A8,45.5061048,-73.5748935
FACE,6.6,159,Montréal,French,Public,H3A,H3A 2A8,45.5061048,-73.5748935
Fadette,4.2,413,Saint-Hyacinthe,French,Public,J2S,J2S 0M4,45.6330046,-72.9501458
Fernand-Lefebvre,4.3,405,Sorel-Tracy,French,Public,J3P,J3P 2J2,46.036248,-73.103488
François-Bourrin,7.1,114,Québec,French,Private,G1E,G1E 6T5,46.8625108,-71.196304
François-Delaplace,5.5,277,Waterville,French,Private,J1M,J1M 2A3,45.3420943,-71.8835675
Frenette,7.3,110,Saint-Jérôme,French,Public,J7Y,J7Y 2G6,45.7787168,-74.0115074
Fréchette,3.4,441,L'Anse-Saint-Jean,French,Public,G0V,G0V 0A5,48.1997947,-70.2391433
Félix-Leclerc,6.3,183,Repentigny,French,Public,J5Y,J5Y 3W9,45.7915601,-73.4117226
Félix-Leclerc,7.1,114,Pointe-Claire,French,Public,J5Y,J5Y 3W9,45.4491237,-73.8273023
Gabriel-Le Courtois,5.5,277,Sainte-Anne-des-Monts,French,Public,H9R,H9R 2Z8,45.4491237,-73.8273023
Georges-Vanier,4.5,391,Laval,French,Public,H7W,H7W 2P3,45.5985726,-73.6533288
Georges-Vanier,4,422,Montréal,French,Public,H7W,H7W 2P3,45.5495591,-73.6242855
Gilbert-Théberge,5,350,Témiscaming,French,Public,J0Z,J0Z 0E1,46.720941,-79.0994981
Grande-Rivière,5.8,243,Gatineau,French,Public,J9H,J9H 6A5,45.4036511,-75.8436668
Greaves Adventist,3,452,Montréal,English,Private,H4B,H4B 2P7,45.463981,-73.6230784
Gérard-Filion,3.2,446,Longueuil,French,Public,J4K,J4K 2G8,45.5114417,-73.4912441
Hebrew Academy,8.2,56,Côte-Saint-Luc,English,Private,H4W,H4W 2W8,45.4757185,-73.659579
Henri-Bourassa,6.8,139,Montréal,French,Public,H2R,H2R 2Z6,45.5324902,-73.6246372
Henri-Dunant,5.4,294,Blainville,French,Public,J7C,J7C 0C6,45.666192,-73.883255
Heritage Regional,6.1,209,Saint-Hubert,English,Public,J3Y,J3Y 3S2,45.4897016,-73.3915141
Herzliah High School,7.7,84,Montréal,English,Private,H3T,H3T 1R4,45.5093417,-73.6159666
Honoré-Mercier,4.4,397,Montréal,French,Public,H2T,H2T 2B9,45.5245061,-73.5901805
Horizon,0,469,Pointe-Claire,English,Public,H9R,H9R 1M3,45.4635355,-73.8057652
Horizon Jeunesse,5.9,231,Laval,French,Public,H7K,H7K 3L3,45.6111181,-73.7427333
Horizon-Blanc,6.6,159,Fermont,French,Public,G0G,G0G 1J0,52.7966747,-67.0916803
Hormisdas-Gamelin,6.3,183,Gatineau,French,Public,J8L,J8L 3R6,45.5871977,-75.400153
Howard S. Billings,3.9,428,Châteauguay,English,Public,J6J,J6J 3P9,45.3639756,-73.7309945
Hyacinthe-Delorme,6.3,183,Saint-Hyacinthe,French,Public,J2S,J2S 7M3,45.643873,-72.953197
Ibn Sina,5.5,277,Montréal,French,Private,J2S,J2S 7M3,45.643873,-72.953197
Institut d'Enseignement,3.9,428,Sept-Îles,French,Private,G4R,G4R 0S9,50.2169335,-66.3806987
Jacques-Rousseau,5.4,294,Longueuil,French,Public,G4R,G4R 0S9,50.2169335,-66.3806987
James Lyng,0,469,Montréal,English,Public,H4C,H4C 0B1,45.4684097,-73.5956982
Jean de la Mennais,9.5,12,La Prairie,French,Private,J5R,J5R 4H6,45.4109344,-73.4846649
Jean-Baptiste-Meilleur,6.5,166,Repentigny,French,Public,J6A,J6A 2G7,45.76237,-73.4352046
Jean-de-Brébeuf,2.9,456,Québec,French,Private,J6E,J6E 6H4,46.1216133,-73.4890684
Jean-de-Brébeuf,9.8,7,Montréal,French,Private,J6E,J6E 6H4,45.5016419,-73.6228927
Jean-Dolbeau,5.1,337,Dolbeau-Mistassini,French,Public,G8L,G8L 1V2,48.8710664,-72.2282655
Jean-du-Nord / Manikoutai,5.5,277,Sept-Îles,French,Public,G5A,G5A 3E6,47.8599889,-70.0094289
Jean-Eudes,9.7,8,Montréal,French,Private,H1X,H1X 1K7,45.5554957,-73.579071
Jean-Gauthier,4,422,Alma,French,Public,G8E,G8E 2L1,48.6388179,-71.6968871
Jean-Grou,5.4,294,Montréal,French,Public,H1E,H1E 4M9,45.6514312,-73.5805524
Jean-Jacques-Bertrand,6.8,139,Farnham,French,Public,J2N,J2N 2J4,45.27962,-72.9762648
Jean-Jacques-Rousseau,4.3,405,Boisbriand,French,Public,J7H,J7H 1K3,45.6152412,-73.854939
Jean-Nicolet,4.8,368,Nicolet,French,Public,J3T,J3T 1H8,46.2343109,-72.6190679
Jean-Raimbault,5.7,263,Drummondville,French,Public,J3T,J3T 1H8,46.2343109,-72.6190679
Jeanne-Mance,4.8,368,Drummondville,French,Public,H2H,H2H 1P6,45.5325061,-73.5691342
Jeanne-Mance,4.7,377,Montréal,French,Public,H2H,H2H 1P6,45.5095357,-73.5825159
Jeanne-Normandin,5.1,337,Montréal,French,Private,H2H,H2H 1P6,45.5325061,-73.5691342
Jeunes Musulmans Canadiens,7.1,114,Montréal,French,Private,H2H,H2H 1P6,45.5325061,-73.5691342
John F. Kennedy,4.6,383,Montréal,English,Public,H2A,H2A 1E6,45.5601795,-73.6043684
John Rennie,7.6,91,Pointe-Claire,English,Public,H2A,H2A 1E6,45.5601795,-73.6043684
Joliette,6.2,201,Joliette,English,Public,J6E,J6E 4Z8,46.0250936,-73.4484683
Jonquière,4.6,383,Saguenay,French,Public,G7S,G7S 4S5,48.4186954,-71.1427729
Joseph-François-Perrault,6.8,139,Montréal,French,Public,H2A,H2A 1M2,45.563144,-73.5998847
Joseph-François-Perrault,6.1,209,Québec,French,Public,H2A,H2A 1M2,45.563144,-73.5998847
Joseph-Hermas-Leclerc,4.9,357,Granby,French,Public,J2G,J2G 8V4,45.3774807,-72.7445278
Juvénat Notre-Dame du Saint-Laurent,8.8,26,Lévis,French,Private,G6W,G6W 7X2,46.7618928,-71.2354189
Jésus-Marie,6.3,183,Beauceville,French,Private,G5X,G5X 1T9,46.203893,-70.765129
Jésus-Marie de Sillery,8.5,35,Québec,French,Private,G1X,G1X 2H8,46.7766689,-71.2501537
Kells,5.5,277,Montréal,English,Private,H1W,H1W 0A1,45.4595076,-73.6311794
Keranna,8.4,40,Trois-Rivières,French,Private,G8Y,G8Y 0G8,46.3582365,-72.6045222
Kuper,8,66,Kirkland,English,Private,H9H,H9H 5K4,45.4521432,-73.8392158
Kénogami,6.8,139,Saguenay,French,Public,G7Z,G7Z 1J2,48.4308028,-71.2590557
L'Abri,4.6,383,Port-Cartier,French,Public,G5B,G5B 2M9,50.021595,-66.8860626
L'Académie Sainte-Thérèse,8.5,35,Sainte-Thérèse,French,Private,G5B,G5B 2M9,50.021595,-66.8860626
L'Agora,4.8,368,Longueuil,French,Public,J4V,J4V 1E8,45.4885807,-73.4516448
l'Arc-en-Ciel,5.8,243,Trois-Pistoles,French,Public,G0L,G0L 4B0,48.1188881,-69.1747897
L'Assomption,8.8,26,L'Assomption,French,Private,J5W,J5W 2C1,45.8238729,-73.4267247
l'Eau-Vive,6.9,133,Québec,French,Private,J0G,J0G 1N0,46.1241621,-72.5035119
L'Escale,5.4,294,Louiseville,French,Public,J5V,J5V 3A3,46.2493547,-72.9488513
l'Horizon,4.5,391,Repentigny,French,Public,J5Z,J5Z 3Y6,45.7635735,-73.477234
La Camaradière,5.1,337,Québec,French,Public,G1P,G1P 4G7,46.8156457,-71.3148898
La Cité étudiante,4.4,397,Maniwaki,French,Public,J9E,J9E 1P8,46.374923,-75.99877
La Cité-des-Jeunes,6.1,209,Vaudreuil-Dorion,French,Public,J7V,J7V 9H8,45.3945172,-74.0293389
La Concorde,4.6,383,Senneterre,French,Public,J0Y,J0Y 0B4,48.3916782,-77.2507658
La Découverte,4.8,368,Saint-Léonard-d'Aston,French,Public,J0C,J0C 1M0,46.1113014,-72.3719253
La Frontalière,6.1,209,Coaticook,French,Public,J1A,J1A 2J4,45.1351064,-71.8016631
La MFR,4.8,368,Saint-Romain,French,Public,G0Y,G0Y 1M0,45.7851174,-71.0917558
La Pocatière,4.7,377,La Pocatière,French,Public,G0L,G0L 1M0,47.3402094,-70.0804831
La Porte-du-Nord,6.5,166,Chibougamau,French,Public,G8P,G8P 1C1,49.920178,-74.3722349
La Poudrière,4.5,391,Drummondville,French,Public,G8P,G8P 1C1,49.920178,-74.3722349
La Samare,7.4,102,Plessisville,French,Public,G6L,G6L 3A8,46.2193364,-71.7874843
La Voie,6,222,Montréal,French,Public,H3W,H3W 2K8,45.499012,-73.6411685
Lafontaine,8.8,26,Saint-Jérôme,French,Private,H3W,H3W 2K8,45.499012,-73.6411685
Lake of Two Mountains,5.5,277,Deux-Montagnes,English,Public,J7R,J7R 7G7,45.5409124,-73.913382
Lakeside,5,350,Lachine,English,Public,H8T,H8T 1H8,45.4455065,-73.7145027
LaSalle,5.4,294,Lasalle,English,Public,J0X,J0X 2Z0,45.3890011,-77.2605984
LaurenHill,6.2,201,Saint-Laurent,English,Public,H4M,H4M 1A6,45.5035437,-73.6950492
Laurentian,5.4,294,Lachute,English,Public,J8H,J8H 4M1,45.6403262,-74.3482793
Laurentienne,7.1,114,Val-Morin,French,Private,J8B,J8B 0A9,46.0148976,-74.196104
Laurier MacDonald,5.6,273,Montréal,English,Public,H1S,H1S 2M3,45.5766593,-73.5854263
Laval Liberty,6.1,209,Laval,English,Public,H7V,H7V 3R3,45.5525836,-73.7420393
Lavigne,5.2,326,Lachute,French,Public,J8H,J8H 1A5,45.6400079,-74.3482715
Le boisé,5.8,243,Victoriaville,French,Public,G6P,G6P 5Z9,46.0487456,-71.9380188
Le Carrefour,4.4,397,Val-d'Or,French,Public,J9P,J9P 4W6,48.0951008,-77.8070003
Le Carrefour,5.7,263,Gatineau,French,Public,J9P,J9P 4W6,45.4271484,-75.724744
le Carrefour,4.5,391,Varennes,French,Public,J9P,J9P 4W6,45.6700414,-73.4297633
Le Delta,4.3,405,Matagami,French,Public,J0Y,J0Y 0B5,49.7605053,-77.626924
le Prélude,5.6,273,Mascouche,French,Public,J7K,J7K 1X8,45.7422508,-73.603278
Le Savoir,7.3,110,Montréal,French,Private,J7K,J7K 1X8,45.7422508,-73.603278
le Sommet,4.9,357,Québec,French,Public,J5V,J5V 2L4,46.1816658,-72.9194215
Le tandem,7,122,Victoriaville,French,Public,G6P,G6P 1J5,46.0596708,-71.9615204
Leblanc,6,222,Laval,French,Public,H7M,H7M 1R5,45.5916571,-73.7122641
