Postal Code,ZIP_CIDE,Walk_Score
H1A,H1A 2R2,25
H1A,H1A 2R3,25
H1A,H1A 2R4,28
H1A,H1A 2R5,28
H1A,H1A 2R6,24
H1A,H1A 2R7,18
H1A,H1A 2R8,25
H1A,H1A 2R9,25
H1A,H1A 2S1,28
H1A,H1A 2S2,28
H1A,H1A 2S3,21
H1A,H1A 2S4,21
H1A,H1A 2S5,24
H1A,H1A 2S6,29
H1A,H1A 2S7,29
H1A,H1A 2S8,32
H1A,H1A 2S9,28
H1A,H1A 2T1,23
H1A,H1A 2T2,23
H1A,H1A 2T3,29
H1A,H1A 2T4,29
H1A,H1A 2T5,32
H1A,H1A 2T6,32
H1A,H1A 2T7,30
H1A,H1A 2T8,32
H1A,H1A 2T9,32
H1A,H1A 2V1,32
H1A,H1A 2V2,32
H1A,H1A 2V3,29
H1A,H1A 2V4,29
H1A,H1A 2V5,12
H1A,H1A 2V6,24
H1A,H1A 2V7,32
H1A,H1A 2V8,32
H1A,H1A 2V9,37
H1A,H1A 2W1,36
H1A,H1A 2W2,2
H1A,H1A 2W3,35
H1A,H1A 2W4,35
H1A,H1A 2W5,37
H1A,H1A 2W6,36
H1A,H1A 2W7,35
H1A,H1A 2W8,35
H1A,H1A 2W9,40
H1A,H1A 2X1,40
H1A,H1A 2X2,40
H1A,H1A 2X3,35
H1A,H1A 2X4,35
H1A,H1A 2X5,40
H1A,H1A 2X6,40
H1A,H1A 2X7,42
H1A,H1A 2X9,35
H1A,H1A 2Y1,29
H1A,H1A 2Y2,33
H1A,H1A 2Y3,38
H1A,H1A 2Y4,35
H1A,H1A 2Y5,38
H1A,H1A 2Y6,38
H1A,H1A 2Y7,43
H1A,H1A 2Y8,43
H1A,H1A 2Y9,33
H1A,H1A 2Z1,38
H1A,H1A 2Z2,46
H1A,H1A 2Z3,33
H1A,H1A 2Z4,34
H1A,H1A 2Z5,45
H1A,H1A 2Z6,34
H1A,H1A 2Z7,45
H1A,H1A 2Z8,24
H1A,H1A 2Z9,31
H1A,H1A 3A1,20
H1A,H1A 3A2,28
H1A,H1A 3A3,28
H1A,H1A 3A4,32
H1A,H1A 3A5,32
H1A,H1A 3A6,44
H1A,H1A 3A7,44
H1A,H1A 3A8,35
H1A,H1A 3A9,35
H1A,H1A 3B1,22
H1A,H1A 3B2,31
H1A,H1A 3B3,19
H1A,H1A 3B4,19
H1A,H1A 3B5,20
H1A,H1A 3B6,20
H1A,H1A 3B7,34
H1A,H1A 3B8,37
H1A,H1A 3B9,44
H1A,H1A 3C1,44
H1A,H1A 3C2,48
H1A,H1A 3C3,35
H1A,H1A 3C4,35
H1A,H1A 3C5,26
H1A,H1A 3C6,21
H1A,H1A 3C7,0
H1A,H1A 3C8,17
H1A,H1A 3C9,17
H1A,H1A 3E1,23
H1A,H1A 3E2,20
H1A,H1A 3E3,34
H1A,H1A 3E4,34
H1A,H1A 3E5,45
H1A,H1A 3E6,48
H1A,H1A 3E7,52
H1A,H1A 3E8,48
H1A,H1A 3E9,30
H1A,H1A 3G1,41
H1A,H1A 3G2,21
H1A,H1A 3G3,21
H1A,H1A 3G4,2
H1A,H1A 3G5,22
H1A,H1A 3G6,22
H1A,H1A 3G7,28
H1A,H1A 3G8,34
H1A,H1A 3G9,34
H1A,H1A 3H1,45
H1A,H1A 3H2,45
H1A,H1A 3H3,45
H1A,H1A 3H4,48
H1A,H1A 3H5,35
H1A,H1A 3H6,35
H1A,H1A 3H7,21
H1A,H1A 3H8,21
H1A,H1A 3H9,2
H1A,H1A 3J1,1
H1A,H1A 3J2,9
H1A,H1A 3J3,9
H1A,H1A 3J4,8
H1A,H1A 3J5,8
H1A,H1A 3J6,10
H1A,H1A 3J7,10
H1A,H1A 3J8,17
H1A,H1A 3J9,24
H1A,H1A 3K1,53
H1A,H1A 3K2,24
H1A,H1A 3K3,24
H1A,H1A 3K4,18
H1A,H1A 3K5,8
H1A,H1A 3K6,5
H1A,H1A 3K7,7
H1A,H1A 3K8,10
H1A,H1A 3K9,8
H1A,H1A 3L1,8
H1A,H1A 3L2,15
H1A,H1A 3L3,15
H1A,H1A 3L4,24
H1A,H1A 3L5,15
H1A,H1A 3L6,37
H1A,H1A 3L7,37
H1A,H1A 3L8,61
H1A,H1A 3L9,69
H1A,H1A 3M1,66
H1A,H1A 3M2,45
H1A,H1A 3M3,50
H1A,H1A 3M4,50
H1A,H1A 3M6,11
H1A,H1A 3M7,24
H1A,H1A 3M8,37
H1A,H1A 3M9,61
H1A,H1A 3N1,72
H1A,H1A 3N3,15
H1A,H1A 3N4,7
H1A,H1A 3N5,62
H1A,H1A 3N6,66
H1A,H1A 3N8,7
