,type,bedroom,bathroom,size(sqft),address,price,lat,long,url
4025,Duplex/Triplex,4 1/2,1,870,"8998 Dubuisson, H1L 2W7, Montréal, QC",1 125,45.6038953,-73.5154789,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/logement-a-louer/1578032686
4026,Duplex/Triplex,3 1/2,1,550,"3412 Rue Bercy, Montréal, QC H2K 2W1, Canada",1 100,45.5379608,-73.5609846,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/charmant-3-1-2-ideal-pour-etudiant-couple-sans-enfant/1578031106
4027,Duplex/Triplex,3 1/2,1,650,"Rue Lepailleur, Montréal, QC H1L, Canada",880,45.590434,-73.521952,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/renovated-modern-3-1-2-in-triplex-mtl-mercier/1577955570
4028,Duplex/Triplex,3 1/2,1,400,"1-10727 av Lausanne, H1H5B4, Montréal, QC",700,45.5845479,-73.6455156,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-a-louer-700/1577946527
4029,Duplex/Triplex, 3 1/2 et coin détente,1,700,"5120 Sainte Marie, H4C1X5, Montreal, QC",1 300,45.469063,-73.591605,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/1-bdr-den-1300-mth-st-henri/1577906304
4030,Duplex/Triplex,5 1/2,1,900,"8970 Rue Berri, Montréal, QC H2M 1P7, Canada",1 795,45.5472315,-73.6439303,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/5-1-2-renove-au-coeur-dahuntsic/1577860307
4031,Duplex/Triplex,5 1/2,1,1 200,"9000 25e Ave, Montréal, QC H1Z 4B7, Canada",1 200,45.5805107,-73.617212,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/tres-beau-5-1-2-a-louer/1577880633
4032,Duplex/Triplex,5 1/2,1.5,1 500,"H3T1N2, Canada",3 100,45.5013206,-73.6183219,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/6-1-2-bas-de-duplex-a-louer-universite-de-montreal/1577873015
4033,Duplex/Triplex,3 1/2,1,1,", Saint-Léonard H1s 2n1 QC, Canada",800,45.5759001,-73.5889184,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-3-1-2-sous-sol-a-louer-ville-saint-leonard/1577846864
4034,Duplex/Triplex, 1 ½ ou 2 ½,1,200,"J4T 1Y5, Canada",700,45.5009194,-73.4704529,https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/studio-tranquille/1577768721
4035,Duplex/Triplex,4 1/2,1,1 100,"8860 Rue Clark, Montréal, QC H2N 1R5, Canada",1 200,45.54144,-73.64511,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-a-louer-for-rent/1554431674
4036,Duplex/Triplex,5 1/2,1,1 200,"8789 Rue Chartrand, LaSalle, QC H8R 2R4, Canada",1 400,45.4264377,-73.6293625,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/duplex-house-for-rent-51-2-in-lasalle-qc-canada/1577622554
4037,Duplex/Triplex,4 1/2,1,800,"17800 Boul Gouin O, Pierrefonds, QC H9J 1A8, Canada",1 500,45.4661753,-73.88756,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/pierrefonds-41-2-for-rent/1577721886
4038,Duplex/Triplex,5 1/2,1,1 400,"5132 Rue Valéry, Saint-Léonard, QC H1R 1L5, Canada",1 500,45.5868152,-73.6050057,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/51-2-saint-leonard/1577709918
4039,Duplex/Triplex,5 1/2,1,1 250,"8894 Rue Tolhurst, Montréal, QC H2N 1W7, Canada",1 300,45.5381094,-73.6473426,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-5-a-louer-big-5-for-rent/1577706468
4040,Duplex/Triplex, 7 1/2 +,2,1,"400 Rue Comte, LaSalle, QC H8R 3C8, Canada",2 000,45.4309005,-73.6422698,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/beau-7-1-2-ensoleille-a-louer-a-lasalle/1577683345
4041,Duplex/Triplex, 7 1/2 +,2,1 250,"H3S1S1, Canada",1 950,45.4973009,-73.6348348,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/haut-duplex-a-louer/1577676489
4042,Duplex/Triplex,3 1/2,1,500,"Willibrord pres de Willington, Verdun H4G2T6 QC, Canada",800,45.4592614,-73.5673378,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-5-pieces-verdun-800/1577571323
4043,Duplex/Triplex,5 1/2,1,1 200,"Rue Pie-XII, Vaudreuil-Dorion, QC J7V, Canada",1 290,45.3746388,-74.0241725,https://www.kijiji.ca/v-appartement-condo/ouest-de-lile-qc/beautiful-large-3-bedroom-for-rent-vaudreuil-dorion/1577583566
4044,Maison,4 1/2,1,771,"9052 Bd Viau, Saint-Léonard, QC H1R 2V5, Canada",1 150,45.5878055,-73.6129851,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-for-rent/1581218034
4045,Maison,6 1/2,2,2 400,"Boul Milan, Brossard, QC J4Z 2A9, Canada",1 800,45.469854,-73.445622,https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/maison-a-louer-house-to-rent-brossard/1581243457
4046,Maison,6 1/2,1.5,1 788,"7555 Boul Milan, Brossard, QC J4Y 1H6, Canada",2 400,45.454588,-73.4547736,https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/large-bungalow-in-brossard-for-rent/1576975638
4047,Maison,6 1/2,2,1 800,"Rue Davignon, Dollard-des-Ormeaux, QC H9B 2H1, Canada",Sur,45.491083,-73.795896,https://www.kijiji.ca/v-appartement-condo/ouest-de-lile-qc/house-for-rent-for-a-family/1581125039
4048,Maison,5 1/2,2,1 931,", brossard J4X3A2 QC, Canada",1 900,45.4340166,-73.4890684,https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/cozy-semi-detached-house-section-r-brossard-for-rent/1581032446
4049,Maison,6 1/2,2,1 750,"10 Chem. du Manoir, Rosemère, QC J7A 4R8, Canada",Sur,45.6229558,-73.8009841,https://www.kijiji.ca/v-appartement-condo/laval-rive-nord/magnifique-maison-au-bord-de-leau-a-louer/1580996633
4050,Maison,6 1/2,2,2 200,", beaconsfield h9w5h1 QC, Canada",3 200,45.4298596,-73.858681,https://www.kijiji.ca/v-appartement-condo/ouest-de-lile-qc/4-bedrooms-2-bathroom-walkout-basement-whole-bungalow-for-rent/1580947100
4051,Maison, 7 1/2 +,2,2 000,"562 Rue Archambault, Vaudreuil-Dorion, QC J7V 1M5, Canada",2 200,45.381454,-74.0293417,https://www.kijiji.ca/v-appartement-condo/ouest-de-lile-qc/belle-grande-maison-bungalow-5-ch/1580868689
4052,Maison,6 1/2,1.5,2 000,"1790 Rue Talleyrand, Brossard, QC J4W 2J2, Canada",2 300,45.4611163,-73.4709914,https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/brossard-bungalow-for-rent/1581608744
4053,Maison,6 1/2,2,1 450,"5541 Pl. Bradford, Montréal, QC H3W 2M6, Canada",3 800,45.493189,-73.6314529,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/modern-4-bedroom-furnished-apartment/1561700651
