,type,bedroom,bathroom,size(sqft),address,price,Postal Code,lat,long,url
3678,Appartement,4 1/2,1,750,"441 9e Av, LaSalle, QC H8P 2P3, Canada",1 300,H8P,45.42986,-73.60703,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-renove-1e-etage-renovated-1st-floor-lasalle/1582568060
3679,Appartement,3 1/2,1,560,"2425 Rue Frontenac, Montréal, QC H2K 2Z8, Canada",1 200,H2K,45.53551,-73.55824,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-completement-renove-a-neuf-metro-frontenac/1582567719
3680,Appartement,4 1/2,2,1 550,"1009 Rue de Bleury, Montréal, QC H2Z 0A3, Canada",Sur,H2Z,45.5041,-73.562,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/2-bedroom-townhouse-in-old-port-september-1/1582567034
3681,Appartement,3 1/2,1,440,"3420 Rue Hutchison, Montreal, QC H2X 2G4, Canada",1 175,H2X,45.50777,-73.57232,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/superbe-apt-tout-inclus-gorgeous-apt-everything-included/1582566999
3682,Appartement,4 1/2,1,900,"H3H2N3, Canada",1 515,H3H,45.49515,-73.5802,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-right-in-front-of-guy-concordia/1582566974
3683,Appartement,5 1/2,2,1 230,"3620, boulevard Saint-Elzéar Ouest, Laval, QC, H7M 1E2",2 170,H7P,45.56975,-73.7726,https://www.kijiji.ca/v-appartement-condo/laval-rive-nord/5-1-2-appartement-neuf-a-louer-a-laval/1575597280
3684,Appartement,5 1/2,1,Non,"325 & 365 boul de la Cote-Vertu Blvd and 320 & 360 boul Thompson Blvd, St. Laurent, QC, H4N 1E4",1 300,H4N,45.52682,-73.6704,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-bedroom-3rd-month-free-apartments-in-saint-laurent/1577754909
3685,Appartement,5 1/2,1,Non,"1200/1600 rue Decarie & 1205/1595 rue Ouimet, Montreal, QC, H4L 3N3",1 199,H5B,45.51228,-73.55439,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-bedroom-suites/1540155619
3686,Appartement, 1 ½ ou 2 ½,1,300,"4041 Jean-Talon est, H2A1Z2, Montreal, QC",695,H2A,45.5662,-73.59207,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/beau-studio-completement-renove-695-mois-tout-compris/1582407691
3687,Appartement,5 1/2,1,Non,"1900, rue des Francs-Bourgeois, Boisbriand, QC, J7H 0G6",2 250,J7H,45.63178,-73.85531,https://www.kijiji.ca/v-appartement-condo/laval-rive-nord/incroyable-5-1-2-appartement-a-louer-a-boisbriand-pour-55/1571761369
3688,Appartement,5 1/2,1,959,"463 Rue Boucher, Montréal, QC H2J 1B8, Canada",1 435,H2J,45.52882,-73.59119,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/5-0-pi-renove-2-cac-terrasse-a-louer-metro-laurier/1582566312
3689,Appartement,4 1/2,1,1 100,"3455 Stanley, H3A 1S3, Montréal, QC",1 495,H3B,45.5021,-73.57887,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/big-4-1-2-near-mcgill-available-for-september-1st/1582566075
3690,Appartement,4 1/2,1,1 100,"3455 Stanley, H3A 1S3, Montréal, QC",1 495,H3B,45.5021,-73.57887,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/big-4-1-2-near-mcgill-available-for-september-1st/1582566074
3691,Appartement,3 1/2,1,1,"4310 Av Old Orchard, Montréal, QC H4A 3B4, Canada",1 150,H4A,45.47637,-73.62267,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartment-a-louer/1577350699
3692,Appartement,4 1/2,2,891,"10 Rue Saint-Jacques, Montréal, QC H2Y 1L2, Canada",2 350,H2Y,45.50622,-73.55624,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-a-louer/1577344916
3693,Appartement,4 1/2,1,1 000,"9517 Rue Lajeunesse, Montréal, QC H2M 1S7, Canada",1 100,H2M,45.55054,-73.65169,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-chamber-ahuntsic-metro-sauve-9517-rue-lajeunesse/1582565543
3694,Appartement,4 1/2,1,900,"608 Rue Guizot E, Montréal, QC H2P 1N5, Canada",1 645,H2P,45.54543,-73.63107,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-4-1-2-villeray-renove/1582565355
3695,Appartement,4 1/2,1,833,"5215 Rue Riviera, Pierrefonds, QC H8Z 3H7, Canada",1 375,H8Z,45.51419,-73.82752,https://www.kijiji.ca/v-appartement-condo/ouest-de-lile-qc/appartement-4-et-demi-au-sous-sol-transfer-de-bail/1582565228
3696,Appartement,3 1/2,1,Non disponible,"7775 av. Trahan, Brossard, QC, J4W 2Z5",1 100,J4W,45.45737,-73.48422,https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/4-1-2-renove-luxe-a-brossard-1100-a-5-minutes-de-dix30/1506209996
3697,Appartement,4 1/2,1.5,884,"10500 L'ACADIE, montreal, QC, H4N 2V4",1 395,H4N,45.53316,-73.67706,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/10500-lacadie-4-5-a-louer-ahuntsic-cartierville/1505790442
3698,Appartement,4 1/2,1,Non disponible,"PLUSIEURS CHOIX, MONTREAL, QC, H1H 4W6",850,H1H,45.58043,-73.6385,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/montreal-nord-grand-4-5-rue-langelier/1582564203
3699,Appartement,4 1/2,1,Non disponible,"PLUSIEURS CHOIX, MONTREAL, QC, H1H 4W6",850,H1H,45.58043,-73.6385,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/montreal-nord-grand-4-5-rue-langelier/1582564263
3700,Appartement, 1 ½ ou 2 ½,1,Non disponible,"1020 rue de Salaberry, Montréal, QC, H3L 1L3",675,H3L,45.54445,-73.69272,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/2-1-2-a-montreal-cartierville-renove-propre/1574529319
3701,Appartement,4 1/2,1,Non disponible,"22 Saint-Elzéar Ouest, Laval, QC, H7M 1E2",950,H7M,45.60216,-73.72946,https://www.kijiji.ca/v-appartement-condo/laval-rive-nord/4-1-2-a-laval-vimont-grand-propre/1581376795
3702,Appartement,3 1/2,1,Non disponible,"453 Rue Darontal, Boucherville, QC, J4B 6J4",975,J4B,45.59752,-73.44568,https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/3-1-2-a-boucherville-insonorise-tout-inclus-propre/1581786145
3703,Appartement, 1 ½ ou 2 ½,1,Non,"1750 boul. Lévesque est, Laval, QC, H7G 4S1",800,H7G,45.57328,-73.67248,https://www.kijiji.ca/v-appartement-condo/laval-rive-nord/1-1-2-a-laval-duvernay-bloc-beton-bord-deau-promo/1580263087
3704,Appartement,5 1/2,1,Non disponible,"63 rue Place Mercier, Candiac, QC, J5R 4V9",1 050,J5R,45.39628,-73.53309,https://www.kijiji.ca/v-appartement-condo/longueuil-rive-sud/5-1-2-a-candiac-style-condo-renove-piscine/1570132940
3705,Appartement,4 1/2,1,Non disponible,"1700 boul. Lévesque est, Laval, QC, H7G 4Z2",1 250,H7G,45.57289,-73.67258,https://www.kijiji.ca/v-appartement-condo/laval-rive-nord/4-1-2-a-duvernay-bloc-beton-bord-de-leau-tout-inclus/1576198633
3706,Appartement,3 1/2,1,800,"7530 Saint-Denis, Montréal, QC, H2R 2E6",1 150,H2R,45.54002,-73.62088,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/villeray-spacieux-3-1-2-1-mois-gratuit-metro-jean-talon/1581782291
